case,resolution,time,z_cm,min_gap,max_penetration,active_contact_count,normal_force,contact_energy,sdf_replay_min_gap,sdf_replay_normal_force,newton_iterations,newton_residual_norm,scenario,linearity,element_type,wall_time_seconds
block_block_c3d8,4,0.0,0.385,0.014999999999999951,0.0,0,0.0,0.0,0.014999999999999951,0.0,2,5.5490300157131464e-14,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.02,0.3841081818181818,0.01410818181818178,0.0,0,0.0,0.0,0.01410818181818178,0.0,2,2.0459735986464732e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.04,0.38240561983471044,0.012405619834710311,0.0,0,0.0,0.0,0.012405619834710311,0.0,2,2.9077354781964527e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.06,0.38077676183320724,0.010776761833206831,0.0,0,0.0,0.0,0.010776761833206831,0.0,2,4.667779412811185e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.08,0.3791412034697074,0.009141203469706179,0.0,0,0.0,0.0,0.009141203469706179,0.0,2,4.552898861120783e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.1,0.37750625423002554,0.007506254230022299,0.0,0,0.0,0.0,0.007506254230022299,0.0,2,6.589513475177783e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.12,0.37587124961544943,0.005871249615442551,0.0,0,0.0,0.0,0.005871249615442551,0.0,2,9.777704223882558e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.14,0.37423625003495264,0.004236250034941707,0.0,0,0.0,0.0,0.004236250034941707,0.0,1,6.699877910475971e-10,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.16,0.37260124999681205,0.0026012499967979553,0.0,0,0.0,0.0,0.0026012499967979553,0.0,1,6.319557284131732e-11,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.18,0.37096625000027605,0.0009662500002604493,0.0,0,0.0,0.0,0.0009662500002604493,0.0,3,5.102938021832039e-12,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.2,0.3699291428253555,-6.897428230618274e-05,6.897428230618274e-05,64,0.8544416766568574,2.920329342793486e-05,-6.897428230618274e-05,0.8544416766568574,4,3.0729482155373688e-12,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.22,0.3699400716164767,-5.834215874576639e-05,5.834215874576639e-05,64,0.7225455508119045,2.088331350944791e-05,-5.834215874576639e-05,0.7225455508119045,4,9.513369720029368e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.24,0.3699749124343932,-2.441639933787709e-05,2.441639933787709e-05,64,0.30260239955050355,3.662820017107897e-06,-2.441639933787709e-05,0.30260239955050355,3,5.3330286058980416e-11,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.26,0.36990637614292715,-9.114282201926082e-05,9.114282201926082e-05,64,1.128851745444596,5.097282462992591e-05,-9.114282201926082e-05,1.128851745444596,4,8.706255167422771e-13,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
block_block_c3d8,4,0.28,0.36999141040622585,-8.361557537499265e-06,8.361557537499265e-06,64,0.10360061866621215,4.2933682901946465e-07,-8.361557537499265e-06,0.10360061866621215,3,1.1028512773482576e-11,free_fall_settling_contact,linear_damped,C3D8,67.43238720018417
